song,artist,album_release_date
Supermodel (You Better Work),RuPaul,1993-06-08
We Break the Dawn,Michelle Williams,2008-04-15
The Greatest Love of All,Whitney Houston,1985-02-14
Would I Lie to You?,Eurythmics,1985-04-29
Stronger,Britney Spears,2000-05-16
Shackles (Praise You),Mary Mary,2000
Cover Girl (Put the Bass in Your Walk),RuPaul,2009-04-07
Jealous of My Boogie (Gomi and RasJek Edit),RuPaul,2009-06-30
My Lovin' (You're Never Gonna Get It),En Vogue,1992-03-24
I Hear You Knocking,Wynonna Judd,2009-02-03
Two of Hearts,Stacey Q,1986-08-18
Carry On,Martha Wash,1992-11-01
Black Velvet,Alannah Myles,1989-03-14
He's the Greatest Dancer,Sister Sledge,1979-02-15
Shake Your Love,Debbie Gibson,1987
Something He Can Feel,Aretha Franklin,1976
Believe,Cher,1998
Even Angels,Fantasia,2010-08-20
Straight Up,Paula Abdul,1988-01-01
I Think About You,Patti LaBelle,1977-02-01
Champion (DJ BunJoe's Olympic Mix),RuPaul,2010-03-30
The Right Stuff,Vanessa Williams,1988-01-01
Bad Romance,Lady Gaga,2009-11-05
Don't Leave Me This Way,Thelma Houston,1998-01-01
Meeting in the Ladies Room,Klymaxx,1984-01-01
Looking for a New Love,Jody Watley,2000-01-01
Knock on Wood,Amii Stewart,2012-10-17
MacArthur Park,Donna Summer,1979-10-15
Mickey (Spanish version),Toni Basil,NA
Toxic,Britney Spears,2003-11-13
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,1968-01-22
No One Else on Earth,Wynonna Judd,1997-04-08
Glamazon,RuPaul,2011-05-03
Bad Girls,Donna Summer,1979-04-25
This Will Be,Natalie Cole,1975-01-01
Trouble,Pink,2003-11-10
Vogue,Madonna,2009-09-18
Born This Way,Lady Gaga,2011-01-01
Mi Vida Loca (My Crazy Life),Pam Tillis,2006-08-11
It's Raining Men... The Sequel,Martha Wash ft. RuPaul,NA
I've Got to Use My Imagination,Gladys Knight & The Pips,1973
Party in the U.S.A.,Miley Cyrus,2009-01-01
(It Takes) Two to Make It Right,Seduction,1989
Malambo No. 1,Yma Sumac,1954
The Beginning,RuPaul,2011-05-03
Only Girl (In the World),Rihanna,2010-01-01
When I Grow Up,The Pussycat Dolls,2008-09-23
Oops!... I Did It Again,Britney Spears,2000-05-16
Take Me Home,Cher,1979-01-01
I'm So Excited,The Pointer Sisters,1982-02-01
Whip My Hair,Willow Smith,2010-10-26
Ain't Nothin' Goin' On but the Rent,Gwen Guthrie,1986-01-01
Cold Hearted,Paula Abdul,1988-01-01
Express Yourself,Madonna,2009-09-18
Think,Aretha Franklin,1968-06-14
Stronger (What Doesn't Kill You),Kelly Clarkson,2011-10-24
Sissy That Walk,RuPaul,2014-02-24
Turn the Beat Around,Vicki Sue Robinson,1972
Shake It Up,Selena Gomez,2011-01-01
I'm Every Woman,Chaka Khan,1978-10-13
Head to Toe,Lisa Lisa & Cult Jam,1987
Whatta Man,"Salt-n-Pepa, En Vogue",1993-10-12
Point of No Return,Exposé,1987
Stupid Girls,Pink,2006-04-04
Vibeology,Paula Abdul,1991-01-01
Geronimo,RuPaul ft. Lucian Piane,2014-02-24
Show Me Love,Robin S.,1993-06-15
Roar,Katy Perry,2013-01-01
Born Naked,RuPaul ft. Clairy Browne,2014-02-24
Twist of Fate,Olivia Newton-John,2017-10-27
I Was Gonna Cancel,Kylie Minogue,2014-03-14
Dreaming,Blondie,1979-09-28
Lovergirl,Teena Marie,1999-10-08
Break Free,Ariana Grande ft. Zedd,2014-08-25
No More Lies,Michel'le,1989
I Think We're Alone Now,Tiffany,1987-01-01
Really Don't Care,Demi Lovato ft. Cher Lloyd,2013-01-01
Applause,Lady Gaga,2013-11-11
I Will Survive,Gloria Gaynor,2000-01-01
Mesmerized (Freemasons Radio Edit),Faith Evans,2010-01-25
Call Me,Blondie,2004-01-01
Causing a Commotion,Madonna,1987-07-21
I Love It,Icona Pop ft. Charli XCX,2013-08-27
And I Am Telling You I'm Not Going,Jennifer Holliday,2006-01-01
You Make Me Feel (Mighty Real),Sylvester,1978-01-01
The Realness,RuPaul,2015-03-02
Cool for the Summer,Demi Lovato,2015-01-01
Macho Man,Village People,1978-02-12
U Wear It Well,RuPaul,2016-03-04
It's Not Right but It's Okay (Thunderpuss Remix),Whitney Houston,2006-05-02
So Emotional,Whitney Houston,1987-06-02
Love Shack,The B-52's,1989-06-23
Holding Out for a Hero,Bonnie Tyler,1986-05-05
I Wanna Go,Britney Spears,2011-03-28
Woman Up,Meghan Trainor,2017-05-12
Music,Madonna,2000-09-19
Finally,CeCe Peniston,1992-01-01
Baby I'm Burnin',Dolly Parton,1978
Greedy,Ariana Grande,2016-05-20
Ain't No Other Man,Christina Aguilera,2006-08-14
Good as Hell,Lizzo,2019-04-17
Nasty Girl,Vanity 6,2011-05-10
Call Me Mother,RuPaul,2017-03-24
If,Janet Jackson,1993-05-18
Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",2014-10-14
Nasty,Janet Jackson,1986-02-04
Best of My Love,The Emotions,1977-06-10
Celebrity Skin,Hole,1998-01-01
Pound the Alarm,Nicki Minaj,2011-01-01
Man! I Feel Like a Woman!,Shania Twain,1997-11-04
I'm Coming Out,Diana Ross,1980-05-22
Cut to the Feeling,Carly Rae Jepsen,2017-05-26
Groove Is in the Heart,Deee-Lite,1990
New Attitude,Patti LaBelle,1996-01-01
The Best of Both Worlds,Hannah Montana,2006-01-01
No More Drama,Mary J. Blige,2001-01-01
No Scrubs,TLC,1999-02-23
Pride (A Deeper Love),Aretha Franklin,2006
SOS,Rihanna,2006-04-10
Bootylicious,Destiny's Child,2001-05-01
The Edge of Glory,Lady Gaga,2011-01-01
Work Bitch,Britney Spears,2013-11-30
Waiting for Tonight (Hex Hector Mix),Jennifer Lopez,NA
Living in America,James Brown,1985
I'm Your Baby Tonight,Whitney Houston,1990-11-04
Last Dance,Donna Summer,1980-09-08
Strut,Sheena Easton,1984
Sorry Not Sorry,Demi Lovato,2017-09-29
Hood Boy,Fantasia,2006-12-09
Starships,Nicki Minaj,2011-01-01
Kill the Lights,"Alex Newell, DJ Cassidy ft. Nile Rodgers",2016-04-15
1999,Prince,1982-10-27
On the Floor,Jennifer Lopez ft. Pitbull,2011-01-01
I'm Like a Bird,Nelly Furtado,2000
Bring Back My Girls,RuPaul,2020-01-10
Survivor,Destiny's Child,2001-05-01
Take On Me,A-ha,1985-06-01
Get Up,Ciara ft. Chamillionaire,2006
Call Your Girlfriend,Robyn,2010-01-01
Problem,Ariana Grande ft. Iggy Azalea,2014-08-25
S&M,Rihanna,2010-01-01
Heart to Break,Kim Petras,2018-02-14
Let It Go,Caissie Levy,2018-05-11
Burning Up,Madonna,1983-07-27
This Is My Night,Chaka Khan,1984
Firework,Katy Perry,2010-01-01
Lady Marmalade,"Christina Aguilera, Lil' Kim, Mýa, P!nk",2001-01-01
Rumors,Lindsay Lohan,2004-01-01
Call Me Maybe,Carly Rae Jepsen,2012-01-01
Ex's & Oh's,Elle King,2015-02-13
The Pleasure Principle,Janet Jackson,1986-02-04
My Humps,Black Eyed Peas,2005-01-01
No Tears Left to Cry,Ariana Grande,2018-08-17
Strong Enough,Cher,1998
I Learned from the Best (HQ2 Radio Mix),Whitney Houston,2006-05-02
How You Like That,BLACKPINK,2020-10-02
Be My Lover,La Bouche,1996-01-16
Hideaway,Kiesza,2014-10-21
I Want You Back,NSYNC,1997
Something He Can Feel,En Vogue,1992-03-24
Bad Bitch Tip,LaLa Ri ft. Ocean Kelly,2021-02-12
I'm Goin' Down,Mary J. Blige,1994-01-01
Arrogant,Tamisha Iman,2021-02-05
Turn It & Burn It,Tina Burner,2021-04-16
You Should Be Sad,Halsey,2020-01-17
Gimme More,Britney Spears,2007-10-25
Till the World Ends,Britney Spears,2011-03-28
Break My Heart,Dua Lipa,2020-03-27
If U Seek Amy,Britney Spears,2008-12-02
100% Pure Love,Crystal Waters,1994-01-01
Fancy,Iggy Azalea ft. Charli XCX,2014-01-01
Hit 'Em Up Style (Oops!),Blu Cantrell,2001-01-18
Whole Lotta Woman,Kelly Clarkson,2017-10-27
Boss,Fifth Harmony,2015-01-30
Fascinated,(Company B,1987
